Cell ID,Cell Stage,Sphericity,Elongation,Flatness,Squareness,Entropy,Surface Volume,Convexity,Cell Volume: Embryo Volume,Surface (microns squared),Volume (microns cubed)
B6.3*,32,74.2449,41.422,25.7335,42.9475,73.5204,22.9288,91.784,0.972219,3902,17020
B6.4,32,66.764,29.8938,8.14756,30.8302,86.9415,16.3987,73.4153,3.28646,9435,57535
B6.4*,32,65.2288,29.8526,5.5692,32.7068,88.7448,17.3995,72.9202,2.88242,8780,50462
b6.5,32,70.5491,46.5592,7.64163,42.5147,72.8967,16.9743,83.2971,2.65388,7886,46461
b6.5*,32,68.6607,44.3985,18.45,41.1802,74.739,17.3435,85.672,2.62675,7975,45986
b6.6,32,67.0741,44.4668,27.1521,35.1277,58.6551,17.1494,84.4196,2.84698,8547,49841
b6.6*,32,65.4997,43.8713,27.2858,31.5487,60.9549,17.2822,82.5796,2.91721,8826,51071
b6.7,32,68.0114,37.9408,30.6293,37.716,74.7399,16.4353,90.3372,3.14592,9051,55075
b6.7*,32,69.3422,34.5501,32.9218,40.7686,72.3875,16.1444,90.7937,3.1929,9050,55005
b6.8,32,62.747,54.793,12.795,37.7894,51.9827,17.1109,80.2987,3.27523,9811,57339
b6.8*,32,61.6617,59.3418,14.1848,42.5783,52.431,17.1913,78.7351,3.34416,10064,58545
A6.1,32,82.9224,16.2293,11.6741,37.8178,97.0873,13.6153,87.5452,3.90878,8872,65166
A6.1*,32,85.211,21.1372,12.6431,44.0959,96.1727,13.7808,91.0093,3.56984,8201,59515
A6.2,32,78.2436,24.8213,12.4208,49.0454,95.9249,14.7717,86.6587,3.4378,8466,57314
A6.2*,32,78.1748,27.5275,8.39359,43.3535,93.1622,14.9712,85.3093,3.30799,8256,55150
A6.3,32,69.4228,20.5805,22.9697,34.7324,93.005,15.7485,76.2765,3.6037,9461,60080
A6.3*,32,73.291,23.3046,13.4494,36.386,93.3478,15.4864,79.2378,3.40028,8779,56689
A6.4,32,80.5816,8.13478,22.9082,37.2315,96.1449,13.5901,86.6991,4.16224,9430,69392
A6.4*,32,78.8886,12.6809,14.2472,35.7112,95.1327,14.243,83.7776,3.77256,8958,62895
a6.5,32,79.8826,18.6364,36.3004,50.8284,91.1907,17.7939,94.1326,1.88691,5597,31458
a6.5*,32,80.4583,19.6613,30.5727,50.9816,93.0211,17.8993,93.7076,1.82733,5453,30465
a6.6,32,72.5953,42.5548,29.2007,44.7484,72.3997,17.0375,89.1606,2.60275,7393,43392
a6.6*,32,70.9298,43.6143,23.031,39.2245,71.9584,17.5954,88.1002,2.4752,7260,41266
a6.7,32,85.9458,21.4913,21.173,43.0611,93.6794,16.9121,95.3938,1.89856,5353,31652
a6.7*,32,84.9353,10.5602,30.719,43.9326,92.9857,17.5757,95.7075,1.73202,5075,28876
a6.8,32,72.0339,47.6726,18.5746,41.8139,66.246,16.9461,84.9815,2.68647,7091,45321
a6.8*,32,73.2651,45.7858,19.9883,40.2094,68.8628,16.4039,86.3741,2.86306,7830,47732
B6.1,32,70.8465,11.4799,31.5449,31.9824,91.2976,15.3389,77.1805,3.74498,9576,62435
B6.1*,32,74.8137,4.33736,32.5891,34.4771,92.6763,14.2376,83.1759,4.19947,9968,70013
B6.2,32,87.8392,14.8157,8.87873,44.8578,97.235,11.2543,93.8508,6.16782,11572,102829
B6.2*,32,83.3565,3.00981,16.4693,37.5766,97.228,11.8475,89.3149,5.87096,11596,97879
B6.3,32,62.8538,28.3358,52.9595,39.8572,76.0347,28.8603,90.2773,0.714335,3437,11909
B6.3*,32,67.3536,31.6526,46.2752,45.9656,78.8786,25.7544,92.3182,0.875376,3758,14594
B6.4,32,75.3755,13.6247,14.6306,40.8685,94.4464,14.4944,80.8437,3.92106,9475,65371
B6.4*,32,75.5809,22.0562,1.18493,45.0657,94.4207,15.0355,81.4209,3.49376,8757,58247
b6.5,32,86.3208,27.8542,13.0396,57.2177,92.1828,14.2797,95.5455,3.12663,7443,52126
b6.5*,32,83.3711,32.863,10.6106,57.1595,91.114,15.2294,93.3967,2.76303,7015,46064
b6.6,32,80.3644,26.4523,24.1627,40.4636,86.676,15.2415,93.8617,2.96657,7538,49458
b6.6*,32,79.7299,27.3846,16.8063,36.5971,86.7852,15.8299,93.3008,2.69023,7099,44851
b6.7,32,80.2128,40.3228,15.4763,48.4981,88.0335,15.1536,93.1385,3.02993,7654,50514
b6.7*,32,80.7043,32.4257,21.3916,43.4588,87.4302,15.6477,94.1447,2.71845,7589,44788
b6.8,32,72.0099,49.2907,12.7093,42.8454,66.0586,15.6364,83.8353,3.42196,8920,57050
b6.8*,32,71.8454,50.9814,16.0062,44.0477,68.4601,16.0816,86.7403,3.15994,8472,52682
a6.5,44,72.8189,12.6939,40.6433,39.6182,90.2696,17.6098,84.4131,1.67127,6877,39057
a6.5*,44,78.6284,16.8458,34.3512,42.0387,90.6744,16.5096,90.1284,1.73949,6711,40651
a6.6,44,78.0391,42.6125,6.16872,36.983,75.4992,14.2473,90.8189,2.74773,9148,64214
a6.6*,44,72.5932,40.568,18.4231,38.9115,74.416,14.8444,84.2905,2.80748,9739,65610
a6.7,44,77.8497,13.5837,15.1582,32.5526,90.9546,14.4014,87.4903,2.67345,8997,62478
a6.7*,44,79.3376,12.4357,8.50357,34.047,94.1661,14.9667,86.9863,2.2933,8021,53594
a6.8,44,81.6952,27.1898,7.14436,34.8502,85.8225,13.2626,94.4542,3.10827,9633,72640
a6.8*,44,77.3735,35.6068,12.0316,41.3131,79.7647,13.546,89.0751,3.25218,10295,76003
A7.1,44,76.2652,35.6037,15.8425,37.0255,77.6184,18.1805,91.6477,1.3846,5882,32358
A7.1*,44,74.7388,36.6604,4.63604,35.5176,80.9471,18.0382,87.8159,1.47613,6222,34496
A7.2,44,83.1333,23.6036,14.1598,41.0229,90.438,15.8694,95.2362,1.75213,6498,40947
A7.2*,44,86.0698,28.1507,11.9921,39.4941,90.7401,14.724,96.0878,2.04651,7042,47826
A7.3,44,78.312,16.5727,23.9315,42.1093,92.8297,17.7725,88.8332,1.40571,5838,32851
A7.3*,44,78.3387,16.7034,30.9333,44.4487,91.5492,17.4198,89.776,1.4918,6073,34863
A7.4,44,81.2691,12.9421,28.8773,40.2212,93.6558,17.968,92.4444,1.26312,5303,29519
A7.4*,44,82.7292,14.0662,20.2447,44.7478,95.2001,17.45,94.0085,1.33073,5426,31099
A7.5,44,81.1303,22.9576,21.0336,38.7687,87.2703,16.4252,91.8719,1.6592,6368,38775
A7.5*,44,77.8192,25.384,30.5842,43.8782,87.4777,16.435,88.4771,1.80016,6914,42069
A7.6,44,89.1627,8.99601,21.1599,43.2907,96.0401,15.5143,97.4116,1.63018,5910,38097
A7.6*,44,84.1894,3.92257,14.7898,39.4432,96.8067,15.3619,93.9221,1.88341,6761,44015
A7.7,44,88.2296,13.1132,20.8187,51.1527,94.9778,15.9484,95.6638,1.53255,5712,35815
A7.7*,44,83.872,21.0502,27.5351,47.0571,90.6038,16.777,94.8492,1.45687,5712,34046
A7.8,44,89.2748,11.6352,22.6772,40.1427,94.2215,15.4035,96.8843,1.66142,5980,38827
A7.8*,44,90.313,11.1361,23.4665,40.9185,96.0285,15.1318,97.282,1.71247,6055,40020
B6.3,44,85.8065,14.0098,31.1326,52.6601,94.2394,19.1272,96.5498,0.939293,4198,21951
B6.3*,44,85.8681,17.5348,36.5443,55.0908,91.2241,18.7371,97.8798,0.997758,4369,23317
B6.4,44,83.6488,25.2409,0.691062,38.1652,94.0415,12.8893,91.2014,3.22986,9729,75481
B6.4*,44,85.1398,16.2517,2.52513,40.2595,96.9158,12.6528,92.6198,3.29586,9745,77023
b6.5,44,77.7824,18.7455,14.3686,36.9162,92.844,14.61,84.4231,2.56499,8757,59943
b6.5*,44,85.5758,12.0111,14.5514,38.3441,95.1399,12.6995,95.3877,3.22654,9575,75403
b6.6,44,75.9218,15.701,16.0044,30.0115,91.0613,14.4583,84.2077,2.77787,9386,64918
b6.6*,44,78.8284,21.0048,16.7507,34.4328,91.8893,14.5232,86.5692,2.54237,8628,59414
b6.7,44,83.207,6.01084,21.5658,40.9177,95.6553,13.5287,92.6943,2.82296,8925,65972
b6.7*,44,83.5038,2.31494,26.9033,43.5703,95.7318,13.1163,93.3648,3.07571,9427,71879
b6.8,44,83.8799,38.9144,2.60726,49.7468,84.1764,12.5976,93.6511,3.44044,10128,80402
b6.8*,44,83.6612,36.4864,9.29753,46.9284,86.3559,12.8741,94.5649,3.24041,9749,75728
B7.1,44,76.7443,34.4276,23.2001,48.9923,80.5573,16.9026,88.2554,1.70154,6721,39764
B7.1*,44,79.031,25.163,28.9165,47.1383,84.8306,15.4389,90.6921,2.10547,7596,49204
B7.2,44,84.6668,17.9976,8.56166,41.6506,94.5267,14.6986,94.8927,2.12588,7302,49681
B7.2*,44,83.8182,15.5544,23.0981,40.6502,91.7654,14.525,93.1949,2.24787,7630,52532
B7.3,44,80.8446,6.28594,40.9133,50.4035,91.4085,14.1845,93.2387,2.59447,8600,60632
B7.3*,44,80.4862,19.4364,25.0273,46.8445,91.0035,13.5325,92.0317,3.01455,9533,70449
B7.4,44,91.5921,21.9949,4.75429,47.8137,95.8374,11.2995,97.7091,3.9985,10558,93444
B7.4*,44,90.9919,10.1839,6.45554,44.3132,97.4378,11.0969,97.4515,4.27749,11092,99964
a6.5,44,74.7389,14.2416,33.2766,40.7724,92.3429,17.0511,85.2071,2.08692,6963,40841
a6.5*,44,70.123,11.6811,31.6615,36.0251,92.5948,18.2405,79.8064,1.93652,6912,37898
a6.6,44,67.688,44.7116,14.0317,32.6869,71.6286,17.0618,76.6618,2.53953,8479,49699
a6.6*,44,66.1156,44.0693,8.28674,31.0534,68.4712,16.7777,72.7382,2.79927,9191,54782
a6.7,44,71.8613,24.2396,15.8423,26.0742,86.896,16.784,79.2644,2.3669,7774,46321
a6.7*,44,75.7035,21.9332,18.8262,27.9476,87.3699,16.5893,86.6105,2.20871,7170,43225
a6.8,44,76.3017,37.6179,3.65345,38.6688,85.209,14.8723,89.8162,3.01754,8782,59054
a6.8*,44,74.4245,34.0207,0.864041,33.0697,84.5853,15.1657,90.2666,2.9911,8877,58537
A7.1,44,74.752,39.0232,8.26587,32.0809,81.2511,19.5167,86.18,1.39119,5313,27226
A7.1*,44,82.3892,35.3743,14.5782,38.5168,83.0335,17.2895,97.442,1.64727,5573,32237
A7.2,44,88.6319,22.5674,14.1838,40.5924,93.2344,16.5337,98.6962,1.62765,5266,31853
A7.2*,44,83.3102,18.3803,17.5562,39.8575,94.2454,17.9912,94.2643,1.42981,5034,27981
A7.3,44,73.7507,11.5394,31.2403,34.0563,89.9945,18.5736,81.992,1.65818,6027,32451
A7.3*,44,73.1219,19.9352,35.5702,42.6867,86.1624,19.8532,87.0849,1.38124,5366,27031
A7.4,44,86.3601,4.64137,26.0598,36.3178,96.7565,16.6007,96.1683,1.69375,5502,33147
A7.4*,44,87.2312,15.376,16.4239,37.3751,96.5014,16.4139,96.0796,1.71741,5516,33610
