Cell ID,Cell Stage,Cell Volume: Embryo Volume,Cell ID,Cell Stage,Cell Volume: Embryo Volume,Error for Daughters,Daughter pair
A7.1,76,1.59121,A7.1,112,1.77315,-0.18194,N/A
A7.2,76,2.10378,A7.2,112,2.22566,-0.12188,N/A
A8.5,76,0.78608,A8.5,112,0.871446,-0.085366,N/A
A8.6,76,0.758591,A8.6,112,0.74477,0.013821,N/A
A8.7,76,0.919102,A8.7,112,0.801863,0.117239,N/A
A8.8,76,0.843503,A8.8,112,0.655293,0.18821,N/A
A7.5,76,1.9028,A7.5,112,1.84568,0.05712,N/A
A7.6,76,1.4504,A8.11,112,0.787831,-0.730711,1
A7.6,76,1.4504,A8.12,112,0.341764,,
A8.13,76,0.75873,A8.13,112,0.892063,0.216573,2
A8.14,76,0.997122,A8.14,112,0.785665,,
A8.15,76,0.819344,A8.15,112,0.712463,-0.501006,3
A8.16,76,0.903355,A8.16,112,0.897014,,
a7.9,76,1.04801,a8.17,112,0.41126,-0.404919,4
a7.9,76,1.04801,a8.18,112,0.510488,,
a7.10,76,0.898318,a8.19,112,0.414686,0.122836,5
a7.10,76,0.898318,a8.20,112,0.553813,,
a7.11,76,1.3072,a8.21,112,0.621848,-0.277343,6
a7.11,76,1.3072,a8.22,112,0.58857,,
a7.12,76,1.77563,a8.23,112,0.81509,-0.09646,7
a7.12,76,1.77563,a8.24,112,0.710496,,
a7.13,76,0.826835,a8.25,112,0.337836,0.727298,8
a7.13,76,0.826835,a8.26,112,0.44337,,
a7.14,76,1.36001,a8.27,112,0.654983,-0.271518,9
a7.14,76,1.36001,a8.28,112,0.73243,,
a7.15,76,1.28735,a8.29,112,0.614208,0.013372,10
a7.15,76,1.28735,a8.30,112,0.626714,,
a7.16,76,1.43087,a8.31,112,0.555823,0.104813,11
a7.16,76,1.43087,a8.32,112,0.698361,,
A7.1*,76,1.64001,A7.1*,112,1.67584,-0.03583,N/A
A7.2*,76,1.94896,A7.2*,112,2.02699,-0.07803,N/A
A8.5*,76,0.901225,A8.5*,112,0.664413,0.236812,N/A
A8.6*,76,0.822968,A8.6*,112,0.876731,-0.053763,N/A
A8.7*,76,0.765823,A8.7*,112,0.685218,0.080605,N/A
A8.8*,76,0.809492,A8.8*,112,0.675584,0.133908,N/A
A7.5*,76,1.93255,A7.5*,112,1.9494,-0.01685,N/A
A7.6*,76,1.65711,A8.11*,112,0.850226,-0.867076,12
A7.6*,76,1.65711,A8.12*,112,0.329888,,
A8.13*,76,0.588853,A8.13*,112,0.878936,0.448286,13
A8.14*,76,0.937242,A8.14*,112,0.358466,,
A8.15*,76,0.805666,A8.15*,112,0.71884,-0.140064,14
A8.16*,76,0.912625,A8.16*,112,1.02321,,
a7.9*,76,0.947936,a8.17*,112,0.323856,-0.434441,15
a7.9*,76,0.947936,a8.18*,112,0.599221,,
a7.10*,76,1.17621,a8.19*,112,0.362388,-0.013673,16
a7.10*,76,1.17621,a8.20*,112,0.538306,,
a7.11*,76,1.46139,a8.21*,112,0.582806,0.055098,17
a7.11*,76,1.46139,a8.22*,112,0.640299,,
a7.12*,76,2.03995,a8.23*,112,0.669724,0.151367,18
a7.12*,76,2.03995,a8.24*,112,0.962198,,
a7.13*,76,0.903879,a8.25*,112,0.374337,0.703415,19
a7.13*,76,0.903879,a8.26*,112,0.601185,,
a7.14*,76,1.48494,a8.27*,112,0.591738,-0.289044,20
a7.14*,76,1.48494,a8.28*,112,0.683028,,
