Cell pair,Developmental Stage,Average Proportional Volume (%),Difference in Propotional Volume (%),Significance Criterion A (0.05),Significance Criterion B (0.01),Significant (A),Significant (B),Difference in actual volume (um^3)
B8.7, B8.7*,112,1.44964,0.12364,0.072482,0.0144964,1,1,2455
B8.8, B8.8*,112,1.772775,0.15697,0.08863875,0.01772775,1,1,3117
A7.1, A7.1*,112,1.81818,0.28902,0.090909,0.0181818,1,1,6078
A7.2, A7.2*,112,1.78747,0.08744,0.0893735,0.0178747,,1,1838
A7.5, A7.5*,112,1.748495,0.33633,0.08742475,0.01748495,1,1,7073
A8.11, A8.11*,112,1.065114,0.139352,0.0532557,0.01065114,1,1,2930
A8.12, A8.12*,112,0.4888005,0.053639,0.024440025,0.004888005,1,1,1129
A8.13, A8.13*,112,0.726187,0.144516,0.03630935,0.00726187,1,1,3040
A8.14, A8.14*,112,0.762635,0.030518,0.03813175,0.00762635,,1,641
A8.15, A8.15*,112,0.7604755,0.047329,0.038023775,0.007604755,1,1,996
A8.16, A8.16*,112,1.0261895,0.084921,0.051309475,0.010261895,1,1,1786
a8.17, a8.17*,112,0.456008,0.048954,0.0228004,0.00456008,1,1,1030
a8.18, a8.18*,112,0.570704,0.10876,0.0285352,0.00570704,1,1,2288
a8.19, a8.19*,112,0.4558745,0.081339,0.022793725,0.004558745,1,1,1710
a8.20, a8.20*,112,0.553224,0.024984,0.0276612,0.00553224,,1,525
a8.21, a8.21*,112,0.540343,0.050146,0.02701715,0.00540343,1,1,1055
a8.22, a8.22*,112,0.562293,0.033572,0.02811465,0.00562293,1,1,706
a8.23, a8.23*,112,0.908956,0.060308,0.0454478,0.00908956,1,1,1268
a8.24, a8.24*,112,0.8720165,0.123547,0.043600825,0.008720165,1,1,2598
a8.25, a8.25*,112,0.460557,0.029028,0.02302785,0.00460557,1,1,611
a8.26, a8.26*,112,0.4677355,0.101773,0.023386775,0.004677355,1,1,2141
a8.27, a8.27*,112,0.6437215,0.074329,0.032186075,0.006437215,1,1,1563
a8.28, a8.28*,112,0.701866,0.144378,0.0350933,0.00701866,1,1,3037
a8.29, a8.29*,112,0.8294215,0.129927,0.041471075,0.008294215,1,1,2732
a8.30, a8.30*,112,0.8724355,0.076443,0.043621775,0.008724355,1,1,1608
a8.31, a8.31*,112,0.807632,0.002468,0.0403816,0.00807632,,,52
a8.32, a8.32*,112,0.882268,0.151674,0.0441134,0.00882268,1,1,3190
A8.5, A8.5*,112,0.810896,0.169064,0.0405448,0.00810896,1,1,3555
A8.6, A8.6*,112,0.788431,0.166732,0.03942155,0.00788431,1,1,3506
A8.7, A8.7*,112,0.996477,0.153306,0.04982385,0.00996477,1,1,3225
A8.8, A8.8*,112,0.9477925,0.000437,0.047389625,0.009477925,,,9
B7.1, B7.1*,112,1.647525,0.19307,0.08237625,0.01647525,1,1,4060
B7.2, B7.2*,112,1.845705,0.47675,0.09228525,0.01845705,1,1,10027
B7.5, B7.5*,112,0.8635815,0.191985,0.043179075,0.008635815,1,1,4037
B7.6, B7.6*,112,0.118181,0.022264,0.00590905,0.00118181,1,1,468
B7.7, B7.7*,112,1.65439,0.20562,0.0827195,0.0165439,1,1,4324
B8.15, B8.15*,112,0.8283735,0.026413,0.041418675,0.008283735,,1,556
B8.16, B8.16*,112,0.794297,0.10265,0.03971485,0.00794297,1,1,2159
b8.17, b8.17*,112,0.6114045,0.105903,0.030570225,0.006114045,1,1,2228
b8.18, b8.18*,112,0.858639,0.267554,0.04293195,0.00858639,1,1,5627
b8.19, b8.19*,112,0.3868015,0.201621,0.019340075,0.003868015,1,1,4241
b8.20, b8.20*,112,0.782796,0.033948,0.0391398,0.00782796,,1,714
b8.21, b8.21*,112,0.422013,0.021496,0.02110065,0.00422013,1,1,452
b8.22, b8.22*,112,0.6581895,0.106639,0.032909475,0.006581895,1,1,2242
b8.23, b8.23*,112,0.789659,0.046718,0.03948295,0.00789659,1,1,982
b8.24, b8.24*,112,0.6907505,0.185975,0.034537525,0.006907505,1,1,3911
b8.25, b8.25*,112,0.4395775,0.049235,0.021978875,0.004395775,1,1,1035
b8.26, b8.26*,112,0.878081,0.111184,0.04390405,0.00878081,1,1,2339
b8.27, b8.27*,112,0.7233365,0.047287,0.036166825,0.007233365,1,1,994
b8.28, b8.28*,112,0.923936,0.013036,0.0461968,0.00923936,,1,274
b8.29, b8.29*,112,0.890224,0.02035,0.0445112,0.00890224,,1,428
b8.30, b8.30*,112,0.8913965,0.118101,0.044569825,0.008913965,1,1,2483
b8.31, b8.31*,112,0.8854525,0.036707,0.044272625,0.008854525,,1,772
b8.32, b8.32*,112,1.018495,0.00167,0.05092475,0.01018495,,,35
B8.5, B8.5*,112,2.38241,0.02578,0.1191205,0.0238241,,1,542
B8.6, B8.6*,112,0.3658035,0.075655,0.018290175,0.003658035,1,1,1591
B8.7, B8.7*,112,1.649405,0.03899,0.08247025,0.01649405,,1,820
B8.8, B8.8*,112,1.687385,0.04415,0.08436925,0.01687385,,1,928
A7.1, A7.1*,112,1.724495,0.09731,0.08622475,0.01724495,1,1,1823
A7.2, A7.2*,112,2.126325,0.19867,0.10631625,0.02126325,1,1,3723
A7.5, A7.5*,112,1.89754,0.10372,0.094877,0.0189754,1,1,1943
A8.11, A8.11*,112,1.0567885,0.327283,0.052839425,0.010567885,1,1,6134
A8.12, A8.12*,112,0.6776855,0.115395,0.033884275,0.006776855,1,1,2162
A8.13, A8.13*,112,0.8854995,0.013127,0.044274975,0.008854995,,1,246
A8.14, A8.14*,112,0.5720655,0.427199,0.028603275,0.005720655,1,1,8006
A8.15, A8.15*,112,0.7156515,0.006377,0.035782575,0.007156515,,,119
A8.16, A8.16*,112,0.960112,0.126196,0.0480056,0.00960112,1,1,2365
a8.17, a8.17*,112,0.3076225,0.076381,0.015381125,0.003076225,1,1,1431
